USER_ID,weight_required_skills,weight_preferred_skills,weight_language,req_R_score,req_Atlassian JIRA Software_score,req_Microsoft Power BI_score,lang_French_score,lang_English_score,normalized_lang_score,normalized_req_score,normalized_pref_score,availability_score,similarity_score,unmatched_skills_score,experience_score,Candidate_score
2433136,9,0,5,200.0,200.0,200.0,300.0,200.0,100.0,66.7,0.0,75.0,71.8,6.1,50,70.36
2676328,9,0,5,160.0,200.0,180.0,300.0,180.0,96.0,60.0,0.0,50.0,64.6,9.6,50,64.89
2579999,9,0,5,80.0,160.0,200.0,300.0,200.0,100.0,48.9,0.0,75.0,50.9,11.8,50,61.0
2540340,9,0,5,40.0,100.0,120.0,300.0,140.0,88.0,28.9,0.0,100.0,100.0,4.4,50,60.22
2551856,9,0,5,80.0,0.0,200.0,300.0,160.0,92.0,31.1,0.0,75.0,83.4,8.2,50,58.04
2433112,9,0,5,0.0,120.0,80.0,300.0,160.0,92.0,22.2,0.0,97.5,88.0,18.0,50,56.74
2443199,9,0,5,120.0,0.0,160.0,300.0,160.0,92.0,31.1,0.0,97.5,65.5,1.8,50,56.48
2453262,9,0,5,0.0,160.0,140.0,300.0,120.0,84.0,33.3,0.0,52.5,85.3,9.0,50,56.38
2499680,9,0,5,160.0,0.0,160.0,300.0,200.0,100.0,35.6,0.0,52.5,54.5,5.8,50,55.76
2433134,9,0,5,0.0,0.0,160.0,300.0,160.0,92.0,17.8,0.0,100.0,87.6,3.4,50,55.27
2447746,9,0,5,0.0,0.0,200.0,300.0,140.0,88.0,22.2,0.0,100.0,78.2,2.2,50,54.6
2433118,9,0,5,0.0,0.0,200.0,300.0,200.0,100.0,22.2,0.0,77.5,67.7,2.6,50,54.3
2433111,9,0,5,0.0,0.0,160.0,300.0,200.0,100.0,17.8,0.0,50.0,85.1,3.2,50,54.0
2671704,9,0,5,200.0,100.0,0.0,300.0,160.0,92.0,33.3,0.0,100.0,41.2,10.0,50,53.74
2583132,9,0,5,0.0,140.0,140.0,270.0,140.0,82.0,31.1,0.0,100.0,59.4,12.9,50,53.7
2789547,9,0,5,0.0,160.0,160.0,300.0,140.0,88.0,35.6,0.0,72.5,79.8,4.8,30,53.16
2445149,9,0,5,0.0,0.0,160.0,300.0,160.0,92.0,17.8,0.0,77.5,79.9,4.6,50,52.99
2447137,9,0,5,0.0,160.0,140.0,300.0,120.0,84.0,33.3,0.0,75.0,53.1,2.3,50,52.67
2450849,9,0,5,0.0,0.0,200.0,300.0,200.0,100.0,22.2,0.0,100.0,43.1,0.8,50,51.74
2578963,9,0,5,0.0,0.0,180.0,300.0,160.0,92.0,20.0,0.0,75.0,64.3,6.0,50,51.3
2946290,9,0,5,180.0,0.0,180.0,300.0,180.0,96.0,40.0,0.0,75.0,42.7,3.7,30,50.86
2836571,9,0,5,120.0,100.0,140.0,300.0,160.0,92.0,40.0,0.0,75.0,47.0,7.2,30,50.7
2513831,9,0,5,0.0,120.0,80.0,300.0,120.0,84.0,22.2,0.0,75.0,65.8,10.7,50,50.69
2433109,9,0,5,0.0,200.0,0.0,300.0,160.0,92.0,22.2,0.0,50.0,62.7,10.8,50,50.58
2451804,9,0,5,0.0,0.0,120.0,300.0,200.0,100.0,13.3,0.0,50.0,72.2,7.8,50,50.48
2456947,9,0,5,80.0,0.0,0.0,300.0,200.0,100.0,8.9,0.0,100.0,62.0,9.0,50,49.92
2501974,9,0,5,0.0,0.0,200.0,300.0,200.0,100.0,22.2,0.0,50.0,47.3,2.8,50,49.86
2446130,9,0,5,0.0,200.0,0.0,300.0,160.0,92.0,22.2,0.0,100.0,40.6,7.7,50,49.76
2433120,9,0,5,0.0,0.0,80.0,300.0,120.0,84.0,8.9,0.0,77.5,86.3,5.2,50,49.24
2446382,9,0,5,80.0,0.0,160.0,300.0,120.0,84.0,26.7,0.0,72.5,45.5,4.9,50,49.1
2560995,9,0,5,0.0,0.0,120.0,300.0,120.0,84.0,13.3,0.0,75.0,75.2,2.9,50,48.98
2433125,9,0,5,0.0,0.0,160.0,300.0,200.0,100.0,17.8,0.0,50.0,51.2,1.5,50,48.91
2475141,9,0,5,0.0,0.0,120.0,300.0,200.0,100.0,13.3,0.0,97.5,42.2,0.3,50,48.36
2433142,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,50.0,88.6,13.2,50,48.29
2433138,9,0,5,0.0,0.0,80.0,300.0,160.0,92.0,8.9,0.0,50.0,78.4,8.8,50,48.28
2501258,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,75.0,74.3,0.0,50,47.4
2725267,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,100.0,57.1,0.0,50,46.06
2433140,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,97.5,57.2,1.5,50,45.96
2502347,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,77.5,63.8,0.0,50,45.94
2708864,9,0,5,0.0,0.0,120.0,300.0,120.0,84.0,13.3,0.0,50.0,63.2,3.1,50,45.94
